arrival_date;arrival_date_calc;cargo_list;master_name;master_role;publication_day;raw_text;ship_flag;ship_name;ship_type;source_file;travel_departure_port
Día 2:;;N/A:  | N/A: ;Villeaumouras;cap.;;—Veracruz, en 2% días, vap. franc. La Normandie, cap. Villeaumouras, trip. 193, toneladas 6485, con carga y 36 pasajeros & Bridat, Montros y Cp.;franc.;La Normandie;vap.;1903_01_16;Veracruz
Día 5:;;N/A:  | N/A: ;Hansen;cp.;;De New York en 5 dias vp. cubano Olinda, cp. Hansen, tp. 51, 2376 con carga general y 41 pasajeros á Luis V. Placé.;cubano;Olinda;vp.;1903_01_17;New York
Día 5:;;N/A:  | N/A: ;Bottone;cp.;;De Matanzas en 5 horas vp. italiano Giuseppe Corvaja, cp. Bottone, tp. 22, td. 1700 en lastre á Luis V. Placé.;italiano;Giuseppe Corvaja;vp.;1903_01_17;Matanzas
Día 5:;;N/A: ;Doughty;cp.;;De Brunswiek en 5 dias gta. americano Horace G. Morce, cp. Doughty, tp. 7, td. 415, con madera la orden.;americano;Horace G. Morce;gta.;1903_01_17;Brunswiek
Día 28:;;N/A:  | N/A: ;Roberto;cp.;;De Montevideo y escalas en 28 dias vp. ingles Arabistan, cp. Roberto tp. 35, td. 4030 con tasas y 3 pasajeros á J. Balcells y C?;ingles;Arabistan;vp.;1903_01_17;Montevideo
Día 7:;;;;;;De Cayo. Hueso en 7 horas, vapor americano;americano;;vapor;1903_01_18;Cayo Hueso
Día 2:;;;;;;De Inagua en 2 días vapor cubano Lanenburg;cubano;Lanenburg;vapor;1903_01_20;Inagua
Día 7:;;;;;;De Pasacoula, en 7 días, gol. ing. Sirocco, ca-;ing.;Sirocco;gol.;1903_01_20;Pasacoula
Día 2½:;;;;;;De Veracruz en 2½ días vapor español Ciudad;español;Ciudad;vapor;1903_01_20;Veracruz
Día 3½:;;;;;;De New York en 3½ días vapor americano;americano;;vapor;1903_01_20;New York
Día 59:;;;;;;De Montevideo en 59 días bergantín español;español;;berg.;1903_01_20;Montevideo
Día 3:;;N/A:  | N/A: ;Twiene;cp.;;De Tampico en 3 días vp. americano Séneca, cp. Twiene, tp. 32 vds. 2729 con carga general 1 pasajero, á Zaldo y C.;americano;Séneca;vp.;1903_01_21;Tampico
Día 2½:;;N/A:  | N/A: ;Pederson;cap.;;De Mobila con 2½ días vp. noruego Uiv, capitán Pederson, tp. 21, tds. 1405 con carga general 6 pasajeros, á Luis V. Placé.;noruego;Uiv;vp.;1903_01_21;Mobila
Día 7:;;N/A:  | N/A:  | N/A: ;Allen;cap.;;De Cayo Hueso en 7 horas, vapor americano Olivette, capitán Allen, tripulantes 55, toneladas 1.604 con carga general, correspondencia y 71 pasajeros á G. Lawton Childs y cp.;americano;Olivette;vapor;1903_01_21;Cayo Hueso
Día 28½:;;N/A: ;Petersen;cp.;;De Hamburgo en 28½ días vp. alemán Hans, cp. Petersen, tp. 19, tds. 1518, con carga general, á E. Heilbut.;alemán;Hans;vp.;1903_01_21;Hamburgo
Día 3:;;N/A:  | N/A: ;Hopner;cp.;;De New Orleans en 3 días vp. americano Excelsior, cp. Hopner, tp. 49, tds. 8642, con carga general y 24 pasajeros, á Galbán y Comp.;americano;Excelsior;vp.;1903_01_21;New Orleans
Día 86:;;N/A: ;Sampedra;cp.;;De Rosario de Santa Fé y escalas en 86 días, bg. español Prudente, cp. Sampedra, tripulantes 3, tds. 203 con tasajo á Quesada y Pérez.;español;Prudente;bg.;1903_01_21;Rosario de Santa Fé
Día 1:;;N/A: ;Voigt;cp.;;De Calbarién en un día vp. alemán Heideberg, cp. Voigt, 58, tds. 3372 con carga de tránsito á Schwab y Tillman.;alemán;Heideberg;vp.;1903_01_21;Calbarién
Día 81:;;N/A:  | N/A: ;Stevens;cap.;;De New York, en 81/2 días, vap. México, capitán Stevens, trip. 98, ton. 5667, con carga general y 84 pasajeros á Zaldo y Cp.;;México;vap.;1903_01_22;New York
Día 31:;;N/A:  | N/A: ;Knigth;ep.;;De Veracruz y Progreso, en 31/2 días, vap. america Vigilancia, ep. Knigth, trip. 74, con carga general y 44 pasajeros á Zaldo y Cp.;;america Vigilancia;vap.;1903_01_22;Veracruz y Progreso
Día 22:;;N/A: ;Look;cap.;;De Filadelfia, en 22 días, gol. am. Frank W. Benedict, cap. Look, trip. 8, ton. 534, con petróleo á la West India Oil & Co.;am.;Frank W. Benedict;gol.;1903_01_22;Filadelfia
Día 4:;;N/A: ;Jameson;op.;;De Tampico, en 4 días, vap. cubano Cubana, op. Jameson, trip. 36, ton. 2081, con ganado á Luis V. Placé.;cubano;Cubana;vap.;1903_01_22;Tampico
Día 24:;;N/A: ;Thomas;cap.;;De Barry (Inglaterra) en 24 días, vap. inglés Memnon, cap. Thomas, trip. 40, ton. 3178, con carbón, á Barrios.;inglés;Memnon;vap.;1903_01_22;Barry (Inglaterra)
Día 7:;;;;;;De Cayo Hueso en 7 horas, vapor americano,;americano;;vapor;1903_01_23;Cayo Hueso
Día 4:;;N/A: ;Christoffersen;cap.;;De Tampico, en 4 días, vap. ngo. Albis, capitán Christoffersen, trip. 19, ton. 1431, con ganado a L. V. Placé.;;ngo. Albis;vap.;1903_01_23;Tampico
Día 7:;;;;;;De Filadelfia, en 7 días, vap. ing. Camper-;ing.;Camper-;vap.;1903_01_23;Filadelfia
Día 6:;;N/A:  | N/A: ;Tonney;cap.;;De Filadelfia, en 6 días, vap. ing. Kennet, cap. Tonney, trip. 21, ton. 1707, cen carbón a L. V. Placé.;ing.;Kennet;vap.;1903_01_23;Filadelfia
Día 5:;;;capitan;cap.;;De Tamga, en 5 dias gol. ing. Blanche, capitan;ing.;Blanche;gol.;1903_01_24;Tamga
Día 7:;;;;;;De Cayo Hueso en 7 horas, vapor americano;americano;;vapor;1903_01_25;Cayo Hueso
Día 26:;;;;;;De Rotterdam, en 26 días, vap. hol. Louise, ca-;hol.;Louise;vap.;1903_01_25;Rotterdam
Día 6:;;;Box;cp.;;De Pascagoula, en 6 días, gol. Omega, cp. Box-;;Omega;gol.;1903_01_27;Pascagoula
Día 21:;;;;;;De Liverpool, en 21 días, vap. esp. Riojano, ca-;esp.;Riojano;vap.;1903_01_27;Liverpool
Día 7:;;;;cap.;;De Cartagena, en 7 días, vap. ngo. Folsjo, cap.;;ngo. Folsjo;vap.;1903_01_27;Cartagena
Día 7:;;;Corrien;cap.;;De Baltimore, en 7 días vap. ing. Cape. Corrien-;ing.;Cape;vap.;1903_01_27;Baltimore
Día 4:;;;;;;De New York, en 4 días, vap. am. Esperanza,;am.;Esperanza;vap.;1903_01_27;New York
Día :;;;;;;De Veracruz y escalas, en 3½ días, vap. ameri-;;ameri-;vap.;1903_01_27;Veracruz
Día 2½:;;;;cap.;;De Mobile, en 2½ días, vap. ital. Giuseppe Cor-;ital.;Giuseppe Cor-;vap.;1903_01_27;Mobile
Día 2:;;;;;;De Nueva Orleans, en 2 días, vap. vm. Chalme-;;vm. Chalme-;vap.;1903_01_27;Nueva Orleans
Día 30:;;;;;;De Barcelona y escadas, en 30 días, vap. espa-;espa-;;vap.;1903_01_28;Barcelona
Día 10:;;;;;;De New York, en 10 días, vap. am. Neptuno,;am.;Neptuno;vap.;1903_01_28;New York
Día 7:;;;;;;De Cayo Hueso en 7 horas, vapor americano;americano;;vapor;1903_01_28;Cayo Hueso
Día 2:;;;;;;De Santiago de Cuba, en 2 días, vap. alemán;alemán;;vap.;1903_01_28;Santiago de Cuba
Día 35:;;;;;;De Hamburgo y escadas, en 35 días, vap. alemán;alemán;;vap.;1903_01_28;Hamburgo
Día 3:;;;;cap.;;De Tampico, en 3 días, vap. am. Niágara, capi-;am.;Niágara;vap.;1903_01_28;Tampico
Día 4:;;N/A:  | N/A: ;Dows;cap.;;De New York, en 3½ dias, vap. am. Morro Castle, cap. Dows, trip. 126, ton. 6004, con carga general y 116 pasajeros á Zaldo y Cp.;am.;Morro Castle;vap.;1903_01_29;New York
Día 6:;;N/A:  | N/A: ;Hathway;cap.;;De New York, en 5½ dias, vap. am. Santiago, cap. Hathway, trip. 55, ton. 2358, con carga general y 57 pasajeros á Zaldo y Cp.;am.;Santiago;vap.;1903_01_29;New York
Día 5½:;;N/A: ;;;;De Tampico, en 5½ dias, vap. ngo. Nord, toneladas 1160, trip. 20, con ganado á Silveira y Comp.;;ngo. Nord;vap.;1903_01_29;Tampico
Día 9:;;N/A:  | N/A:  | N/A:  | N/A: ;Mathiensen;cap.;;De New Orleans, en 9 dias, vap. ngo. Ole Bull, cap. Mathiensen, trip. 20, ton. 1640, con carga bonó & Bridat, Montros y Cp.;;ngo. Ole Bull;vap.;1903_01_29;New Orleans
Día 25:;;N/A: ;Torelhe;cap.;;De Canning, en 25 dias, gol. ing. Mincola, capi- cán Torelhe, trip. 7, ton. 813, con papas á M. López.;ing.;Mincola;gol.;1903_01_29;Canning
Día 5:;;N/A: ;Paller;cap.;;De Culebra, en 5 dias, vap. am. M.-recellus, cap. Paller, trip. 32, ton. 1227, con carbón al Consul americano.;am.;M.-recellus;vap.;1903_01_29;Culebra
Día 18:;;N/A: ;Hansen;cap.;;De Caibarién, en 18 dias, vapor cubano Olinda, cap. Hansen, trip. 53, ton. 2376, con carga de tránsito á L. V. Placé.;cubano;Olinda;vapor;1903_01_29;Caibarién
;;N/A: ;Farell;cap.;;De Londres y escalas, vap. ing. Cayo Bonito, cap. Farell, trip. 32, ton. 3427, con carga general á Dussaq y Cp.;ing.;Cayo Bonito;vap.;1903_01_29;Londres
Día 39:;;N/A: ;Naveranzanoa;cap.;;De Amberes y escalas, en 39 dias, vap. esp. On- tón, cap. Naveranzanoa, con carga general á Barandá y Cp.;esp.;On- tón;vap.;1903_01_29;Amberes
Día 5:;;;;;;De New York, en 4½ días, vap. am. Curityba,;am.;Curityba;vap.;1903_01_30;New York
Día 7:;;;;;;De Cayo Hueso en 7 horas, vapor americano;americano;;vapor;1903_01_30;Cayo Hueso
Día 7:;;;;;;De Cayo Hueso en 7 horas, vapor americano;americano;;vapor;1903_01_31;Cayo Hueso
Día 7:;;;;;;De Cayo Hueso, en 7 horas, vapor americano;americano;;vapor;1903_02_01;Cayo Hueso
Día 6½:;;;;;;De New York, en 6½ días, vap. Ing. Verben,;;Ing. Verben;vap.;1903_02_01;New York
Día 21:;;;;;;De Liverpool, en 21 días, vap. esp. Vivina, ca-;esp.;Vivina;vap.;1903_02_01;Liverpool
;;N/A:  | N/A:  | N/A:  | N/A: ;Wettsij;cap.;;De Nueva York y Santiago de Cuba, vapor alemán Kainerm Marla Theresia capitán Wettsij, tripulantes 274, toneladas 8278 con 813 pasajeros á Schwab y Fillmann.;alemán;Kainerm Marla Theresia;vapor;1903_02_01;Nueva York y Santiago de Cuba
Día 7:;;N/A: ;Diome;cap.;;De Mobila, en 7 días, gol. ing. Florence R. Hwson, cap. Diome, trip. 7, ton. 317, con ma-dera á M. Bayon.;ing.;Florence R. Hwson;gol.;1903_02_03;Mobila
Día 9:;;N/A: ;Dimton;cap.;;De Pascagoula, en 9 días, gal. am. Daisy Farlin, cap. Dimton, trip. S, ton. 458, con ma-dera á la orden.;am.;Daisy Farlin;gal.;1903_02_03;Pascagoula
;;N/A: ;Pederson;cap.;;De Mobila, vap. ngo. Uly, cap. Pederson, tri-pulantes 21, ton. 1405, con carga general á L. V. Placé.;;ngo. Uly;vap.;1903_02_03;Mobila
Día 7:;;N/A: ;Dilón;cap.;;De Cayo Hueso en 7 horas, vapor americano Martinique, capitán Dilón, tripulantes 43, toneladas 996, con carga á G. Lawton Childs y Cp.;americano;Martinique;vapor;1903_02_03;Cayo Hueso
Día 3½:;;N/A:  | N/A: ;Robertson;cap.;;De Veracruz y escalas, en 3½ días, vap. ameri-cano Havana, cap. Robertson, trip. 92, to-neladas 5867, con carga general y pasajeros á Zaldo y Cp.;americano;Havana;vap.;1903_02_03;Veracruz
Día 4:;;N/A:  | N/A: ;Knigt;cap.;;De New York, en 4 días, vap. am. Vigilancia, cap. Knigt, trip. 75, ton. 4115, con carga general y 33 pasajeros á Zaldo y Cp.;am.;Vigilancia;vap.;1903_02_04;New York
Día 7:;;N/A:  | N/A:  | N/A: ;Allen;cap.;;De Cayo Hueso en 7 horas, vapor americano Olivette, capitán Allen, tripulantes 55, toneladas 1.604 con carga general, correspondencia y 71 pasajeros á G. Lawton Childs y cp.;americano;Olivette;vapor;1903_02_04;Cayo Hueso
Día 4:;;N/A:  | N/A: ;Chistoffess;cap.;;De Tampico, en 4 días, ngo Albi, capitán Chistoffess, trip. 19, ton. 1431, con gaudio y L. V. Placé.;;Albi;ngo;1903_02_04;Tampico
Día 19:;;N/A:  | N/A:  | N/A: ;Camps;cap.;;De Bilbao, Santander y Coruña, en 19 días, vapor esp. Cataluña, cap. Camps, trip. 109, toneladas 3784, con carga general, correspondencia y 264 pasajeros á M. Calvo.;esp.;Cataluña;vapor;1903_02_04;Bilbao, Santander y Coruña
Día 3½:;;;;;;De New York, en 3½ días, vap. am? México,;am?;México;vap.;1903_02_05;New York
Día 10:;;;;;;De Filadelfia en 10 días, gol. ing. Henry A. Le-;ing.;Henry A. Le-;gol.;1903_02_05;Filadelfia
Día 8:;;;;;;De Nueva Yor en 8 dias vpr. ings. Russian;ings.;Russian;vpr.;1903_02_06;Nueva Yor
Día 7:;;;;;;De Tampa y Cayo Hueso en 7 horas vapor ame-;;ame-;vapor;1903_02_06;Tampa y Cayo Hueso
Día 3:;;;;;;De Nueva Orleans en 3 dias vapor americano;americano;;vapor;1903_02_06;Nueva Orleans
Día 4:;;;;;;De Tampico en 4 dias vapor cubano Cubana,;cubano;Cubana;vapor;1903_02_06;Tampico
Día 35:;;;;;;De Barcelona y escalas en 35 dias, vapor espa-;;espa-;vapor;1903_02_06;Barcelona
Día 5:;;N/A:  | N/A: ;Jovine;cap.;;De New York, en 5 días, vap. am. Séneca, cap. Jovine, trp. 57, ton. 2729, con carga general y 54 pasajeros & Zaldo y Cp.;am.;Séneca;vap.;1903_02_07;New York
Día 7:;;N/A:  | N/A:  | N/A: ;Dillón;cap.;;De Cayo Hueso en 7 horas, vapor americano Martinique, capitán Dillón, triplicantes 43, toneladas 996, con carga a G. Lawton Childs y Cp.;americano;Martinique;vapor;1903_02_07;Cayo Hueso
Día 7:;;N/A:  | N/A: ;Bodden;cap.;;De Mobila, en 7 días gol. ing. G. E. Bentley, cap. Bodden, trip. 8, ton. 280, con madera & M. C. Bayon.;ing.;G. E. Bentley;gol.;1903_02_07;Mobila
Día 7:;;N/A:  | N/A: ;Salveson;cap.;;De P. agoula en 7 días, gol. am. Griffin, capitán Salveson, trip. 7, ton. 867, con madera & la orden.;am.;Griffin;gol.;1903_02_07;P. agoula
Día 7:;;;;;;De Cayo Hueso en 7 horas, vapor americano;americano;;vapor;1903_02_08;Cayo Hueso
Día 3½:;;;;;;De Tampico, en 3½ días, vap. am. Matanzas,;am.;Matanzas;vap.;1903_02_08;Tampico
;;N/A:  | N/A: ;Benson;cap.;;De Pasacgoula, gol. am. Elisa A. Bayler, capitán Benson, trip. 8, ton. 286, con madera y R. P. Santa María.;am.;Elisa A. Bayler;gol.;1903_02_08;Pasacgoula
Día 8:;;;;;;De Pasacgoula, en 8 días, gol. ing. Helen E.;ing.;Helen E.;gol.;1903_02_08;Pasacgoula
Día 8:;;N/A:  | N/A: ;Sawyer;cap.;;De Pasacagoula en 8 dias gta. americana Nokomis cap. Sawyer, trp. 6, tnd.s 245, con ma-;americana;Nokomis;gta.;1903_02_10;Pasacagoula
Día 25:;;N/A:  | N/A: ;Maass;cap.;;De Bremen y eecalas en 25 dias vap. alemán Coblenz cap. Maass, trp. 55, tnd.s 3169, con;alemán;Coblenz;vap.;1903_02_10;Bremen
Día 7½:;;;;;;De filadelfia en 7½ dias vapor inglés King;ing.;King;vapor;1903_02_10;Filadelfia
Día 4:;;;;;;De Pasacagoula, en 4 días, gol. ing. F. W. Pic-;ing.;F. W. Pic-;gol.;1903_02_11;Pasacagoula
Día 7:;;;;;;De Cayo Hueso en 7 horas, vapor americano;americano;;vapor;1903_02_11;Cayo Hueso
Día 4:;;;;;;De New York, en 4 días, vap. am. Monterey,;am.;Monterey;vap.;1903_02_11;New York
Día 4:;;;;;;De Tampico, en 4 días, vap. am. Santiago, Ha-;am.;Santiago;vap.;1903_02_11;Tampico
Día 20:;;;;;;De Caibarién, en 20 horas, vap. alem. Mainz,;alem.;Mainz;vap.;1903_02_12;Caibarién
Día 5:;;;;;;De Matanzas, en 5 horas, vap. cubano Curity-;cubano;Curity;vap.;1903_02_12;Matanzas
;;;Hoppe;cap.;;ba, cap. Hoppe, trip. 56, tons. 2363, con;;;ba;1903_02_12;
Día 3½:;;;;;;De New York, en 3½ dias, vap. amer. Morro;amer.;Morro;vap.;1903_02_12;New York
;;;Downs;cap.;;Castle, cap. Downs, trip 127, tons. 6.001,;;Castle;;1903_02_12;
Día 5:;;N/A:  | N/A:  | N/A: ;Bottone;cap.;;De Matanzas, en 5 horas, vap. italiano Giuseppe Corvaja, cap. Bottone, trip. 22, ton. 1700, en lastre á L. V. Placé.;italiano;Giuseppe Corvaja;vap.;1903_02_13;Matanzas
Día 5:;;N/A:  | N/A: ;Turner;cap.;;De Cayo Hueso, en 5 horas, vap. amer. Mascotte, cap. Turner, trip. 44, tons. 884, con carga general y 35 pasajeros á Lawton Childs y Comp.;amer.;Mascotte;vap.;1903_02_13;Cayo Hueso
Día 4:;;N/A:  | N/A: ;Rogers;cep.;;De Veracruz en 4 días, vap. amer. Esperanza, cep. Rogers, trip. 93, tons. 4702, con carga general y 73 pasajeros á Zaldo y Cp.;amer.;Esperanza;vap.;1903_02_13;Veracruz
Día 0:;;N/A: ;Jsbister;cap.;;De Sagua en 18 horas, vap. ing. Cape Corriens, cap. Jsbister, trip. 16, tons. 2508, con carga de tránsito á L. V. Placé.;ing.;Cape Corriens;vap.;1903_02_13;Sagua
Día 8:;;N/A: ;Pettersen;cp.;;De Tampico en 8 días vapor noruego, Volund, cp. Pettersen, tp. 18, tond. 1087 con ganado, á E. Heibut.;noruego;Volund;vapor;1903_02_14;Tampico
Día 8:;;N/A:  | N/A: ;Yáez;cp.;;De Pto. Rico en 8 días, vp. cubano María Herrera, cp. Yáez, tp. 58, tond. 1925, con carga general, y 5 pasajeros, a sobrinos de Herrera.;cubano;María Herrera;vp.;1903_02_14;Pto. Rico
Día 5:;;N/A:  | N/A: ;Hansen;cap.;;De N. York en 5 días, vp. cubano Olinda, capitán Hansen, tp. 52, tond. 2376, con carga general y 34 pasajeros, á L. V. Placé.;cubano;Olinda;vp.;1903_02_14;N. York
Día 7:;;N/A: ;Dillón;cp.;;De C. Hueso en 7 horas vp. americano Martínque, cp. Dillón, tp. 52, tond. 990, con carga general, á G. Lawton Childs y C.;americano;Martínque;vp.;1903_02_14;C. Hueso
Día 21:;;;;;;De Liverpool con 21 días vp. inglés Luyanó,;inglés;Luyanó;vp.;1903_02_15;Liverpool
Día 6:;;;;;;De Baltimore en 6 días vp. inglés Royal Ex-;ing.;Royal Ex-;vp.;1903_02_15;Baltimore
Día 7:;;;;cap.;;De C. Hueso en 7 horas vp. am? Olivette, capi-;am?;Olivette;vp.;1903_02_17;C. Hueso
Día 28:;;;;;;De Buenos Aires en 28 dias vp. inglés British;inglés;British;vp.;1903_02_17;Buenos Aires
Día 2:;;;;;;De Pór Williams en 2 dias gta. inglesa Zeta,;inglesa;Zeta;gta.;1903_02_17;Pór Williams
Día 25:;;;;cap.;;De Swansea en 25 dias vp. inglés Sidrr, capitán;ing.;Sidrr;vp.;1903_02_17;Swansea
Día 4:;;;;cap.;;De New York en 4 dias vp. am? Havana, capi-;am?;Havana;vp.;1903_02_17;New York
Día :;;;;;;De Veracruz y escalas en 3½ dias, vp. ameri-;;ameri-;vp.;1903_02_17;Veracruz
Día 2½:;;;capitan;cap.;;De Mobila en 2½ dias vp. noruego ULV capitan;noruego;ULV;vp.;1903_02_17;Mobila
;;;;;;De Miami y Cayo Hueso, vap. am. Martinique,;am.;Martinique;vap.;1903_02_17;Miami y Cayo Hueso
Día 3:;;;;;;De Veracruz, en 3 dias, vap. francés France,;francés;France;vap.;1903_02_17;Veracruz
Día 7:;;;;;;De Cryo Hueso, en 7 horas, vav. am. Mascotte,;am.;Mascotte;vav.;1903_02_18;Cryo Hueso
Día 3½:;;;;cap.;;De Tampico, en 3½ días, vap am. Séneca, capi-;am.;Séneca;vap;1903_02_18;Tampico
